Price,Adj Close,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,,
2022-01-03,325.0380859375,334.75,338.0,329.7799987792969,335.3500061035156,28865100
2022-01-04,319.464599609375,329.010009765625,335.20001220703125,326.1199951171875,334.8299865722656,32674300
2022-01-05,307.20098876953125,316.3800048828125,326.07000732421875,315.9800109863281,325.8599853515625,40054300
2022-01-06,304.77349853515625,313.8800048828125,318.70001220703125,311.489990234375,313.1499938964844,39646100
2022-01-07,304.92889404296875,314.0400085449219,316.5,310.0899963378906,314.1499938964844,32720000
2022-01-10,305.1522521972656,314.2699890136719,314.7200012207031,304.69000244140625,309.489990234375,44289500
2022-01-11,305.8416442871094,314.9800109863281,316.6099853515625,309.8900146484375,313.3800048828125,29386800
2022-01-12,309.0361633300781,318.2699890136719,323.4100036621094,317.0799865722656,319.6700134277344,34372200
2022-01-13,295.9569396972656,304.79998779296875,320.8800048828125,304.0,320.4700012207031,45366000
2022-01-14,301.2002868652344,310.20001220703125,310.82000732421875,303.75,304.25,39846400
2022-01-18,293.8693542480469,302.6499938964844,309.79998779296875,301.739990234375,304.07000732421875,42333200
2022-01-19,294.5296630859375,303.3299865722656,313.9100036621094,302.70001220703125,306.2900085449219,45933900
2022-01-20,292.8498229980469,301.6000061035156,311.6499938964844,301.1400146484375,309.07000732421875,35380700
2022-01-21,287.44140625,296.0299987792969,304.1099853515625,295.6099853515625,302.69000244140625,57984400
2022-01-24,287.7715148925781,296.3699951171875,297.1099853515625,276.04998779296875,292.20001220703125,85731500
2022-01-25,280.12017822265625,288.489990234375,294.989990234375,285.1700134277344,291.5199890136719,72848600
2022-01-26,288.10162353515625,296.7099914550781,308.5,293.0299987792969,307.989990234375,90428900
2022-01-27,291.1408386230469,299.8399963378906,307.29998779296875,297.92999267578125,302.6600036621094,53481300
2022-01-28,299.31658935546875,308.260009765625,308.4800109863281,294.45001220703125,300.2300109863281,49743700
2022-01-31,301.9576721191406,310.9800109863281,312.3800048828125,306.3699951171875,308.95001220703125,46444500
2022-02-01,299.8021240234375,308.760009765625,310.6300048828125,305.1300048828125,310.4100036621094,40950400
2022-02-02,304.3656921386719,313.4599914550781,315.1199951171875,308.8800048828125,309.6300048828125,36636000
2022-02-03,292.5099182128906,301.25,311.2300109863281,299.9599914550781,309.489990234375,43730000
2022-02-04,297.06396484375,305.94000244140625,308.79998779296875,299.9700012207031,300.2099914550781,35096500
2022-02-07,292.2187194824219,300.95001220703125,307.8399963378906,299.8999938964844,306.1700134277344,28533300
2022-02-08,295.7239990234375,304.55999755859375,305.55999755859375,299.95001220703125,301.25,32421200
2022-02-09,302.1810302734375,311.2099914550781,311.92999267578125,307.3900146484375,309.8699951171875,31284700
2022-02-10,293.607177734375,302.3800048828125,309.1199951171875,300.70001220703125,304.0400085449219,45386200
2022-02-11,286.4801025390625,295.0400085449219,304.2900085449219,294.2200012207031,303.19000244140625,39175600
2022-02-14,286.44134521484375,295.0,296.760009765625,291.3500061035156,293.7699890136719,36359500
2022-02-15,291.7525939941406,300.4700012207031,300.79998779296875,297.0199890136719,300.010009765625,27058300
2022-02-16,291.41204833984375,299.5,300.8699951171875,293.67999267578125,298.3699951171875,29982100
2022-02-17,282.8788757324219,290.7300109863281,296.79998779296875,290.0,296.3599853515625,32461600
2022-02-18,280.154541015625,287.92999267578125,293.8599853515625,286.30999755859375,293.04998779296875,34264000
2022-02-22,279.9501953125,287.7200012207031,291.5400085449219,284.5,285.0,41736100
2022-02-23,272.7013854980469,280.2699890136719,291.70001220703125,280.1000061035156,290.17999267578125,37811200
2022-02-24,286.6346130371094,294.5899963378906,295.1600036621094,271.5199890136719,272.510009765625,56989700
2022-02-25,289.28118896484375,297.30999755859375,297.6300048828125,291.6499938964844,295.1400146484375,32546700
2022-02-28,290.72125244140625,298.7900085449219,299.1400146484375,293.0,294.30999755859375,34627500
2022-03-01,286.9849853515625,294.95001220703125,299.9700012207031,292.1499938964844,296.3999938964844,31217800
2022-03-02,292.0834045410156,300.19000244140625,301.4700012207031,293.70001220703125,295.3599853515625,31873000
